step 0: train loss 8.7256, val loss 8.7217
iter 2130: loss 0.8744, loss_a 0.8744, loss_b nan, time 1314.97ms, mfu 8.53%
iter 2140: loss 0.8869, loss_a 0.8869, loss_b nan, time 1313.75ms, mfu 8.55%
iter 2150: loss 0.9452, loss_a 0.9452, loss_b nan, time 1314.35ms, mfu 8.57%
iter 2160: loss 0.9562, loss_a 0.9562, loss_b nan, time 1313.11ms, mfu 8.59%
iter 2170: loss 0.9238, loss_a 0.9238, loss_b nan, time 1313.55ms, mfu 8.61%
iter 2180: loss 0.9072, loss_a 0.9072, loss_b nan, time 1313.62ms, mfu 8.62%
iter 2190: loss 0.9402, loss_a 0.9402, loss_b nan, time 1314.27ms, mfu 8.63%
iter 2200: loss 0.9463, loss_a 0.9463, loss_b nan, time 1313.80ms, mfu 8.65%
iter 2210: loss 0.8607, loss_a 0.8607, loss_b nan, time 1313.46ms, mfu 8.66%
iter 2220: loss 0.8760, loss_a 0.8760, loss_b nan, time 1330.17ms, mfu 8.66%
iter 2230: loss 0.8221, loss_a 0.8221, loss_b nan, time 1314.51ms, mfu 8.66%
iter 2240: loss 0.9229, loss_a 0.9229, loss_b nan, time 1315.77ms, mfu 8.67%
iter 2250: loss 0.8845, loss_a 0.8845, loss_b nan, time 1312.10ms, mfu 8.68%
iter 2260: loss 0.8625, loss_a 0.8625, loss_b nan, time 1314.11ms, mfu 8.69%
iter 2270: loss 0.9656, loss_a 0.9656, loss_b nan, time 1313.95ms, mfu 8.69%
iter 2280: loss 0.9238, loss_a 0.9238, loss_b nan, time 1313.49ms, mfu 8.70%
iter 2290: loss 0.9176, loss_a 0.9176, loss_b nan, time 1314.20ms, mfu 8.71%
iter 2300: loss 0.8551, loss_a 0.8551, loss_b nan, time 1313.84ms, mfu 8.71%
iter 2310: loss 0.9227, loss_a 0.9227, loss_b nan, time 1312.60ms, mfu 8.72%
iter 2320: loss 0.8164, loss_a 0.8164, loss_b nan, time 1314.09ms, mfu 8.72%
iter 2330: loss 0.8498, loss_a 0.8498, loss_b nan, time 1313.67ms, mfu 8.72%
iter 2340: loss 0.9183, loss_a 0.9183, loss_b nan, time 1321.09ms, mfu 8.72%
iter 2350: loss 0.9675, loss_a 0.9675, loss_b nan, time 1313.74ms, mfu 8.72%
iter 2360: loss 0.9668, loss_a 0.9668, loss_b nan, time 1317.26ms, mfu 8.72%
iter 2370: loss 0.8734, loss_a 0.8734, loss_b nan, time 1314.34ms, mfu 8.73%
iter 2380: loss 0.9376, loss_a 0.9376, loss_b nan, time 1314.17ms, mfu 8.73%
iter 2390: loss 0.8949, loss_a 0.8949, loss_b nan, time 1313.79ms, mfu 8.73%
iter 2400: loss 0.8296, loss_a 0.8296, loss_b nan, time 1314.71ms, mfu 8.73%
iter 2410: loss 0.8606, loss_a 0.8606, loss_b nan, time 1313.21ms, mfu 8.74%
iter 2420: loss 0.8542, loss_a 0.8542, loss_b nan, time 1314.96ms, mfu 8.74%
iter 2430: loss 0.8945, loss_a 0.8945, loss_b nan, time 1314.05ms, mfu 8.74%
iter 2440: loss 0.9039, loss_a 0.9039, loss_b nan, time 1314.88ms, mfu 8.74%
iter 2450: loss 0.8604, loss_a 0.8604, loss_b nan, time 1313.63ms, mfu 8.74%
iter 2460: loss 0.9285, loss_a 0.9285, loss_b nan, time 1313.38ms, mfu 8.74%
iter 2470: loss 0.8596, loss_a 0.8596, loss_b nan, time 1315.66ms, mfu 8.74%
iter 2480: loss 0.8414, loss_a 0.8414, loss_b nan, time 1314.49ms, mfu 8.74%
